app_name,Average_helpful_count
Alibaba.com - B2B marketplace,109.4391
TikTok Studio,95.2469
Google Play Games,68.8499
Local News: Breaking & Latest,27.5368
Talkie: Creative AI Community,24.5328
YouTube TV: Live TV & more,21.7261
Google Wallet,20.6239
Google Calendar,17.983
IMDb: Movies & TV Shows,16.3264
"Priceline: Hotel, Flight & Car",14.3327
Amazon Alexa,13.5921
Xbox,13.3024
Yahoo Mail,12.9185
DoorDash - Dasher,10.5323
Google Voice,9.0285
"Linky AI: Chat, Play, Connect",7.7273
Bluesky,4.931
Dairy Queen® Food & Treats,3.3406
Safeway Deals & Delivery,3.3362
Western Union Send Money Now,3.2629
Realtor.com Real Estate & Rent,3.2185
U-Haul,3.1042
AXS Tickets,2.9116
Subway®,2.9098
Planet Fitness Workouts,2.8851
Taco Bell Fast Food & Delivery,2.7287
Smart Home Manager,2.68
Suno - AI Music,2.0502
Frontier Airlines,1.9707
My Earthquake Alerts - Map,1.7409
NCAA March Madness Live,1.7269
Panda Express,1.2446
Wingstop,0.6955
