section,Number of games,Average_Score
Explore games on PC,35,4.38
Casual games,30,4.453333
Stylized games,30,4.443333
Indie Corner,19,4.4
Browse popular games,18,4.383333
Newly launched games,12,4.366667
Be the first to play,5,4.32
Abstract graphics,4,4.475
Simulation games,3,4.366667
Role playing games,2,4.35
Strategy games,2,4.65
Zombie games,2,4.35
Cat games,1,4.5
Fantasy setting games,1,4.6
Logic games,1,4.8
Match-3 games,1,4.5
Pet simulation games,1,4.2
Pretend play games,1,4.5
Puzzle games,1,4.3
Racing games,1,4.1
Realistic Games,1,4.9
Shooter games,1,4.5
